sequence,frames,joints,occluded_frames,occlusion_rate,mean_joints_occluded_per_frame,category
Baseline1_full_right_arm_008,2919,14,0,0.0,0.0,CLEAN BASELINE
Baseline_1_001,2903,27,0,0.0,0.0,CLEAN BASELINE
Baseline_1_002,3651,27,0,0.0,0.0,CLEAN BASELINE
Baseline_1_003,2707,27,0,0.0,0.0,CLEAN BASELINE
Baseline_2_left_elbow_002,2696,27,717,0.2659495548961424,0.5945845697329377,OCCLUDED
Baseline_2_left_elbow_003,2980,27,731,0.2453020134228188,0.5865771812080537,OCCLUDED
Baseline_2_left_wrist_001,2700,27,681,0.25222222222222224,0.6262962962962964,OCCLUDED
Baseline_2_left_wrist_003,2578,27,664,0.2575640031031808,0.569821567106284,OCCLUDED
Baseline_2_right_elbow_001,2752,27,712,0.25872093023255816,0.5697674418604651,OCCLUDED
Baseline_2_right_elbow_002,3186,27,847,0.26585059635907093,0.655367231638418,OCCLUDED
Baseline_2_right_elbow_003,2482,27,624,0.25141015310233683,0.5910556003223207,OCCLUDED
Baseline_2_right_left_elbow_001,2501,27,624,0.249500199920032,0.5973610555777689,OCCLUDED
Baseline_2_right_wrist_001,2378,27,594,0.24978973927670312,0.6261564339781329,OCCLUDED
Baseline_2_right_wrist_002,2464,27,651,0.26420454545454547,0.5880681818181818,OCCLUDED
Baseline_2_right_wrist_003,2588,27,621,0.23995363214837712,0.5703245749613601,OCCLUDED
Baseline_3_left_knee_002,2680,27,649,0.2421641791044776,0.5406716417910448,OCCLUDED
Baseline_3_left_knee_003,2462,27,681,0.276604386677498,0.5787977254264826,OCCLUDED
Baseline_3_right_knee_001,2670,27,691,0.2588014981273408,0.5902621722846442,OCCLUDED
Baseline_3_right_knee_002,2450,27,626,0.25551020408163266,0.5751020408163265,OCCLUDED
Baseline_3_right_knee_003,2440,27,679,0.27827868852459015,0.610655737704918,OCCLUDED
Baseline_variation_003,3164,27,906,0.286346396965866,0.6422250316055625,OCCLUDED
Baseline_variation_004,1458,27,446,0.3058984910836763,0.5157750342935528,OCCLUDED
